produto,ano,fonte,unidade_padrao,preco_mediano,preco_medio,preco_min,preco_max,n_registros,ratio_max_min
lapis,2020,estadual,unidade,0.36,0.48,0.29,0.89,5,3.1
lapis,2020,federal,unidade,0.25,0.26,0.21,0.33,4,1.6
lapis,2020,municipal,unidade,0.66,0.66,0.39,0.93,2,2.4
lapis,2021,estadual,unidade,1.0,0.99,0.39,1.47,5,3.8
lapis,2021,federal,unidade,0.24,0.36,0.17,0.66,6,3.9
lapis,2021,municipal,unidade,1.04,1.31,0.34,2.56,3,7.5
lapis,2022,estadual,unidade,0.59,0.69,0.34,1.5,9,4.4
lapis,2022,federal,unidade,0.29,0.3,0.29,0.31,3,1.1
lapis,2022,municipal,unidade,0.35,0.44,0.24,0.98,18,4.1
lapis,2023,estadual,unidade,0.93,0.82,0.28,1.24,6,4.4
lapis,2023,municipal,unidade,0.32,0.41,0.3,1.14,63,3.8
lapis,2024,estadual,unidade,1.8,1.65,0.76,2.3,10,3.0
lapis,2024,federal,unidade,2.51,2.25,1.43,2.82,3,2.0
lapis,2024,municipal,unidade,0.18,0.56,0.18,1.13,113,6.3
lapis,2025,estadual,unidade,1.06,1.05,0.55,1.53,4,2.8
lapis,2025,federal,unidade,0.56,0.89,0.4,2.04,4,5.1
lapis,2025,municipal,unidade,0.36,0.6,0.21,1.8,28,8.6
lapis,2026,federal,unidade,0.65,0.65,0.55,0.75,2,1.4
lapis,2026,municipal,unidade,1.3,1.28,0.9,1.8,14,2.0
laranja,2019,municipal,kg,2.39,2.39,2.39,2.39,2,1.0
laranja,2021,municipal,kg,3.88,3.88,3.88,3.88,2,1.0
laranja,2022,municipal,kg,3.64,3.76,3.25,4.51,4,1.4
laranja,2023,municipal,kg,3.84,3.73,1.99,5.0,25,2.5
laranja,2024,federal,kg,4.92,4.64,3.2,5.35,12,1.7
laranja,2024,municipal,kg,4.0,3.78,1.25,5.5,34,4.4
laranja,2025,federal,kg,5.97,6.05,2.9,8.66,17,3.0
laranja,2025,municipal,kg,6.3,5.95,5.35,6.47,15,1.2
laranja,2026,municipal,kg,7.05,7.05,7.05,7.05,5,1.0
leite_condensado,2020,municipal,kg,14.18,14.18,14.18,14.18,2,1.0
leite_condensado,2021,municipal,kg,24.8,24.8,21.9,27.7,4,1.3
leite_condensado,2022,federal,kg,8.99,10.93,8.75,16.99,4,1.9
leite_condensado,2022,municipal,kg,36.17,31.62,15.16,39.0,4,2.6
leite_condensado,2023,municipal,kg,12.66,14.84,12.15,25.82,31,2.1
leite_condensado,2024,federal,kg,9.62,9.62,8.35,10.9,2,1.3
leite_condensado,2024,municipal,kg,19.0,21.88,10.03,39.9,13,4.0
leite_condensado,2025,federal,kg,15.26,15.26,8.99,21.53,2,2.4
leite_condensado,2025,municipal,kg,13.01,17.38,12.66,29.17,8,2.3
leite_condensado,2026,municipal,kg,11.9,11.91,11.9,11.92,3,1.0
leite_integral,2019,federal,litro,2.99,3.03,2.65,3.6,16,1.4
leite_integral,2020,federal,litro,3.14,3.23,2.99,3.62,4,1.2
leite_integral,2020,municipal,litro,3.92,3.92,3.92,3.92,2,1.0
leite_integral,2021,estadual,litro,4.07,4.29,3.9,4.89,3,1.3
leite_integral,2021,federal,litro,3.89,3.86,3.4,4.5,14,1.3
leite_integral,2021,municipal,litro,4.23,4.23,3.97,4.5,2,1.1
leite_integral,2022,estadual,litro,5.52,5.52,4.18,6.87,2,1.6
leite_integral,2022,federal,litro,5.3,5.5,4.59,7.58,17,1.7
leite_integral,2022,municipal,litro,4.18,4.62,4.18,5.44,10,1.3
leite_integral,2023,municipal,litro,6.21,8.25,4.34,15.0,40,3.5
leite_integral,2024,estadual,litro,5.13,5.13,5.13,5.13,2,1.0
leite_integral,2024,federal,litro,5.2,5.2,4.39,6.49,13,1.5
leite_integral,2024,municipal,litro,9.07,8.19,4.36,11.08,42,2.5
leite_integral,2025,federal,litro,5.24,5.2,4.5,5.79,8,1.3
leite_integral,2025,municipal,litro,7.98,8.49,4.6,13.85,19,3.0
leite_integral,2026,federal,litro,4.68,5.26,4.59,6.5,3,1.4
leite_integral,2026,municipal,litro,12.82,11.71,9.5,12.82,3,1.3
leite_po,2019,estadual,kg,61.5,62.38,37.5,89.0,4,2.4
leite_po,2019,federal,kg,28.48,32.41,21.5,54.48,12,2.5
leite_po,2020,federal,kg,24.99,25.49,24.5,27.5,4,1.1
leite_po,2020,municipal,kg,29.05,28.52,20.7,32.55,11,1.6
leite_po,2021,estadual,kg,41.08,42.75,29.75,53.38,9,1.8
leite_po,2021,federal,kg,38.29,37.12,31.9,40.0,4,1.3
leite_po,2021,municipal,kg,34.27,45.16,27.7,88.49,11,3.2
leite_po,2022,federal,kg,49.5,48.77,42.45,55.0,7,1.3
leite_po,2022,municipal,kg,31.7,34.55,25.0,54.3,33,2.2
leite_po,2023,municipal,kg,35.02,40.74,22.35,84.72,91,3.8
leite_po,2024,federal,kg,44.75,45.0,36.5,53.75,6,1.5
leite_po,2024,municipal,kg,32.9,36.32,25.0,59.98,80,2.4
leite_po,2025,federal,kg,41.25,39.78,30.5,44.98,9,1.5
leite_po,2025,municipal,kg,35.0,42.37,27.3,67.83,69,2.5
leite_po,2026,municipal,kg,56.75,51.26,29.0,63.49,33,2.2
levotiroxina,2019,estadual,unidade,0.3,0.32,0.08,0.55,22,6.8
levotiroxina,2019,federal,unidade,0.11,0.12,0.1,0.15,4,1.5
levotiroxina,2019,municipal,unidade,0.24,0.26,0.06,0.48,3,7.5
levotiroxina,2020,estadual,unidade,0.28,0.29,0.08,0.6,19,7.9
levotiroxina,2020,federal,unidade,0.14,0.15,0.14,0.16,3,1.1
levotiroxina,2020,municipal,unidade,0.08,0.09,0.07,0.29,22,4.0
levotiroxina,2021,estadual,unidade,0.21,0.24,0.13,0.56,23,4.4
levotiroxina,2021,federal,unidade,0.11,0.14,0.1,0.21,3,2.1
levotiroxina,2021,municipal,unidade,0.06,0.11,0.05,0.29,9,5.4
levotiroxina,2022,estadual,unidade,0.28,0.3,0.09,0.46,24,4.9
levotiroxina,2022,federal,unidade,0.09,0.12,0.08,0.18,3,2.3
levotiroxina,2022,municipal,unidade,0.2,0.2,0.16,0.24,17,1.5
levotiroxina,2023,estadual,unidade,0.42,0.39,0.19,0.57,14,3.0
levotiroxina,2023,municipal,unidade,0.17,0.17,0.13,0.24,83,1.8
levotiroxina,2024,estadual,unidade,0.32,0.46,0.11,1.09,8,9.7
levotiroxina,2024,municipal,unidade,0.18,0.17,0.09,0.3,87,3.3
levotiroxina,2025,estadual,unidade,0.4,0.43,0.36,0.49,5,1.4
levotiroxina,2025,municipal,unidade,0.12,0.16,0.08,0.45,92,5.6
levotiroxina,2026,municipal,unidade,0.09,0.09,0.07,0.14,22,2.0
limao,2019,municipal,kg,2.81,2.81,2.81,2.81,2,1.0
limao,2020,municipal,kg,5.0,5.39,5.0,6.16,6,1.2
limao,2021,municipal,kg,7.45,7.45,7.45,7.45,2,1.0
limao,2022,municipal,kg,4.0,4.05,3.8,4.53,8,1.2
limao,2023,municipal,kg,5.0,5.52,3.53,7.4,50,2.1
limao,2024,federal,kg,6.35,6.81,5.49,8.9,5,1.6
limao,2024,municipal,kg,7.05,6.03,3.15,8.0,54,2.5
limao,2025,federal,kg,4.99,5.13,3.5,6.85,7,2.0
limao,2025,municipal,kg,5.96,5.79,2.97,8.0,20,2.7
limao,2026,municipal,kg,7.61,6.07,3.0,7.61,3,2.5
linguica,2020,municipal,kg,23.16,25.17,16.0,35.33,5,2.2
