fonte,produto,ano,cidade,preco_padrao,unidade_padrao,fonte_conversao,descricao
federal,agua_mineral,2019,Federal/ES,8.8,litro,heuristica,ÁGUA MINERAL NATURAL
federal,ar_condicionado,2019,Federal/ES,15250.0,unidade,unitario,AR CONDICIONADO - INSTALACAO/MONTAGEM/DESMONATAGEM/REMOÇÃO -(PAREDE / SISTEMAS)
federal,cafe,2019,Federal/ES,14.5,kg,heuristica,'CAFÉ'
federal,alcool,2019,Federal/ES,7.14,litro,heuristica,ÁLCOOL ETÍLICO LIMPEZA DE AMBIENTES
federal,alcool,2019,Federal/ES,10.0,litro,heuristica,ÁLCOOL ETÍLICO
federal,alcool,2019,Federal/ES,7.74,litro,heuristica,ÁLCOOL ETÍLICO
federal,disjuntor,2019,Federal/ES,114.0,unidade,unitario,DISJUNTOR ALTA TENSÃO
federal,toner,2019,Federal/ES,65.9,unidade,unitario,CARTUCHO TONER IMPRESSORA HP
federal,ar_condicionado,2019,Federal/ES,17498.0,unidade,unitario,AR CONDICIONADO - MANUTENCAO DE SISTEMAS / LIMPEZA
federal,ar_condicionado,2019,Federal/ES,17498.0,unidade,unitario,AR CONDICIONADO - MANUTENCAO DE SISTEMAS / LIMPEZA
federal,cimento,2019,Federal/ES,21.0,saco_50kg,unitario,CIMENTO PORTLAND
federal,tijolo,2019,Federal/ES,2.45,unidade,unitario,BLOCO DE CONCRETO
federal,abobora,2019,Federal/ES,1.99,kg,heuristica,ABÓBORA IN-NATURA
federal,cebola,2019,Federal/ES,3.15,kg,heuristica,CEBOLA IN NATURA
federal,feijao,2019,Federal/ES,4.6,kg,heuristica,FEIJÃO
federal,iogurte,2019,Federal/ES,6.93,litro,heuristica,IOGURTE NATURAL
federal,iogurte,2019,Federal/ES,6.93,litro,heuristica,IOGURTE NATURAL
federal,cafe,2019,Federal/ES,35.96,kg,heuristica,'CAFÉ'
federal,gasolina,2019,Federal/ES,4.3,litro,quantidade_litros,GASOLINA COMUM
federal,diesel,2019,Federal/ES,3.41,litro,quantidade_litros,ÓLEO DIESEL.
federal,cafe,2019,Federal/ES,15.0,kg,heuristica,'CAFÉ'
federal,envelope,2019,Federal/ES,0.44,unidade,unitario,'ENVELOPE'
federal,envelope,2019,Federal/ES,0.2,unidade,unitario,'ENVELOPE'
federal,envelope,2019,Federal/ES,1.0,unidade,unitario,'ENVELOPE'
federal,envelope,2019,Federal/ES,0.16,unidade,unitario,'ENVELOPE'
federal,tubo_pvc,2019,Federal/ES,155.9,metro,unitario,TUBO PVC SOLDÁVEL
federal,tubo_pvc,2019,Federal/ES,56.9,metro,unitario,TUBO PVC SOLDÁVEL
federal,tubo_pvc,2019,Federal/ES,66.9,metro,unitario,TUBO PVC SOLDÁVEL
federal,pneu,2019,Federal/ES,172.0,unidade,unitario,PNEU VEÍCULO AUTOMOTIVO
federal,pneu,2019,Federal/ES,740.0,unidade,unitario,PNEU VEÍCULO AUTOMOTIVO
federal,pneu,2019,Federal/ES,690.0,unidade,unitario,PNEU VEÍCULO AUTOMOTIVO
federal,pneu,2019,Federal/ES,229.0,unidade,unitario,PNEU VEÍCULO AUTOMOTIVO
federal,pneu,2019,Federal/ES,580.0,unidade,unitario,PNEU VEÍCULO AUTOMOTIVO
federal,pneu,2019,Federal/ES,265.0,unidade,unitario,PNEU VEÍCULO AUTOMOTIVO
federal,pneu,2019,Federal/ES,285.0,unidade,unitario,PNEU VEÍCULO AUTOMOTIVO
federal,pneu,2019,Federal/ES,415.0,unidade,unitario,PNEU VEÍCULO AUTOMOTIVO
federal,tijolo,2019,Federal/ES,1.6,unidade,unitario,BLOCO DE CONCRETO
federal,tijolo,2019,Federal/ES,1.79,unidade,unitario,BLOCO DE CONCRETO
federal,tubo_pvc,2019,Federal/ES,185.25,metro,unitario,TUBO PVC SOLDÁVEL
federal,tubo_pvc,2019,Federal/ES,41.0,metro,unitario,TUBO PVC SOLDÁVEL
federal,tubo_pvc,2019,Federal/ES,116.0,metro,unitario,TUBO PVC SOLDÁVEL
federal,tubo_pvc,2019,Federal/ES,7.85,metro,unitario,TUBO PVC SOLDÁVEL
federal,tubo_pvc,2019,Federal/ES,10.55,metro,unitario,TUBO PVC SOLDÁVEL
federal,tubo_pvc,2019,Federal/ES,20.0,metro,unitario,TUBO PVC SOLDÁVEL
federal,tubo_pvc,2019,Federal/ES,15.99,metro,unitario,TUBO PVC SOLDÁVEL
federal,tubo_pvc,2019,Federal/ES,24.36,metro,unitario,TUBO PVC SOLDÁVEL
federal,tubo_pvc,2019,Federal/ES,41.36,metro,unitario,TUBO PVC SOLDÁVEL
federal,tubo_pvc,2019,Federal/ES,22.36,metro,unitario,TUBO PVC SOLDÁVEL
federal,tubo_pvc,2019,Federal/ES,65.24,metro,unitario,TUBO PVC SOLDÁVEL
federal,tubo_pvc,2019,Federal/ES,64.99,metro,unitario,TUBO PVC SOLDÁVEL
federal,tubo_pvc,2019,Federal/ES,49.99,metro,unitario,TUBO PVC SOLDÁVEL
federal,tubo_pvc,2019,Federal/ES,89.26,metro,unitario,TUBO PVC SOLDÁVEL
federal,lapis,2019,Federal/ES,1.31,unidade,unitario,LÁPIS PRETO
federal,mascara_descartavel,2019,Federal/ES,1.0,unidade,unitario,MÁSCARA DESCARTÁVEL USO GERAL
federal,torneira,2019,Federal/ES,109.65,unidade,unitario,REPARO TORNEIRA
federal,torneira,2019,Federal/ES,32.0,unidade,unitario,REPARO TORNEIRA
federal,torneira,2019,Federal/ES,25.0,unidade,unitario,REPARO TORNEIRA
federal,torneira,2019,Federal/ES,15.0,unidade,unitario,REPARO TORNEIRA
federal,torneira,2019,Federal/ES,35.0,unidade,unitario,REPARO TORNEIRA
federal,torneira,2019,Federal/ES,27.0,unidade,unitario,REPARO TORNEIRA
federal,torneira,2019,Federal/ES,36.72,unidade,unitario,REPARO TORNEIRA
federal,vassoura,2019,Federal/ES,17.04,unidade,unitario,VASSOURA
federal,vassoura,2019,Federal/ES,9.2,unidade,unitario,VASSOURA
federal,vassoura,2019,Federal/ES,9.96,unidade,unitario,VASSOURA
federal,bebedouro,2019,Federal/ES,1772.0,unidade,unitario,BEBEDOURO ÁGUA
federal,agua_mineral,2019,Federal/ES,6.6,litro,heuristica,ÁGUA MINERAL NATURAL
federal,agua_sanitaria,2019,Federal/ES,2.99,litro,heuristica,ÁGUA SANITÁRIA
