fonte,produto,ano,cidade,preco_padrao,unidade_padrao,fonte_conversao,descricao
municipal,acucar,2022,Colatina,14.04,kg,unidade_declarada,"PAO CASEIRO (SABORES DIVERSOS) CONTENDO NO MÍNIMO: TRIGO, LEITE, OVO, FERMENTO, SAL, AÇÚCAR, ÓLEO. FEITO DE FORMA CASEIR"
municipal,ar_condicionado,2022,Vila Velha,5937.23,unidade,unitario,FORNECIMENTO E INSTALAÇÃO DE APARELHO DE AR CONDICIONADO DO TIPO SPLIT HI-WALL - 36.000BTU's
municipal,disjuntor,2022,Vila Velha,27.47,unidade,unitario,"Mini-Disjuntor monopolar 63 A, curva C - 5KA 220/127VCA (NBR IEC 60947-2), Ref. Siemens, GE, Schneider ou equivalente"
municipal,cola_branca,2022,Guarapari,10.0,unidade,unitario,COLA BRANCA  1000G LÍQUIDA
municipal,areia,2022,Serra,171.26,m3,unitario,Fornecimento e espalhamento de areia média lavada
municipal,vassoura,2022,Santa Maria de Jetibá,10.5,unidade,unitario,VASSOURA DE PIACAVA REFORCADA COM CABO TAMANHO N° 04; CEPA EM MADEIRA; CERDAS EM PIACAVA
municipal,torneira,2022,Viana,78.38,unidade,unitario,"SERVIÇOS/ CAIXAS DE PVC / EQUIPAMENTOS-TORNEIRA DE BÓIA DE PVC, DIÂM. 3/4 (20MM) CAIXAS DE PVC / EQUIPAMENTOS -TORNEIRA "
municipal,oleo_soja,2022,Cariacica,12.1,litro,descricao,"ÓLEO DE SOJA TIPO 1, ENVASADO EM EMBALAGEM RESISTENTE DE POLIETILENO ATÓXICO, NÃO VIOLADO, QUE GARANTA A INTEGRIDADE DO "
municipal,margarina,2022,Santa Maria de Jetibá,11.74,kg,heuristica,"MARGARINA VEGETAL COM SAL, COM 80% DE LIPIDIOS,A EMBALAGEM DEVERA CONTER EXTERNAMENTE OS DADOS DE IDENTIFICACAO DO PRODU"
municipal,mamao,2022,São Mateus,5.9,kg,unidade_declarada,"MAMÃO Formosa in natura extra, apresentando maturação média (de vez), polpa firme ao toque, sem apresentar avarias de ca"
municipal,carne_suina,2022,Serra,18.4,kg,descricao,"CARNE SUINA - PERNIL TRASEIRO EM ISCAS: CORTADA EM ISCAS COM APROXIMADAMENTE 10MM X 80MM, EM PADRÃO UNIFORME, DESOSSADA,"
municipal,atenolol,2022,Aracruz,0.0799,unidade,unitario,"ATENOLOL 50 MG, COMPRIMIDO"
municipal,extintor,2022,Viana,556.94,unidade,unitario,"SERVIÇOS/  EXTINTOR DE INCÊNDIO DE GÁS INSTALAÇÃO DE INCÊNDIO/ EXTINTOR DE INCÊNDIO DE GÁS CARBÔNICO CO2 5 B:C (6 KG), I"
municipal,farinha_mandioca,2022,Marataízes,3.5,kg,heuristica,"FARINHA DE MANDIOCA TIPO 01 FARINHA DE MANDIOCA. PRODUTO DE PRIMEIRA QUALIDADE, TORRADA, TIPO 1, TEXTURA SECA, FINA, CLA"
municipal,disjuntor,2022,Vitória,13.94,unidade,unitario,Retirada de disjuntor
